Brand	Outside model	Inside model	Furnace model	HSPF (Region IV)	Rated heating capacity (Btu/hour)	Grant amount	AHRI / Verification reference	AHRI Classification	Series name/product line (if applicable)	SEER	Rated cooling capacity (Btu/hour)	Coefficient of Performance (COP) at -15 °C (5 °F) (at maximum capacity)	Capacity Maintenance %  (Max -15°C/5°F ÷ Rated 8.3°C/47°F)
FRIGIDAIRE	FFHP183CS2	FFHP183WS2		10	8806	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8718585	HRCU-A-CB-O		20		1.84	186
PANASONIC	CU-E9SD3UA	CS-E9SD3UAW		10	9000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9125308	HRCU-A-CB	Low-Profile Ducted	20.5	9000	2.06	86
PERFECT AIRE	3PAMSHQCO09	3PAMSHQCW09		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205653641	HRCU-A-CB-O		19.5	9000	2.08	78
DENALI AIRE	DNMSHQCO9A	DNMSHQCW9A		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205300163	HRCU-A-CB-O		19.5	9000	2.08	78
FRIEDRICH	FPHSR09A1A-A	FPHSW09A1B		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205142781	HRCU-A-CB-O	Floating Air Pro	19.5	9000	2.08	78
FRIEDRICH	FPHSR09A1A	FPHSW09A1A		10	9500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	203383867	HRCU-A-CB-O	Floating Air Pro	19.5	9000	2.08	78
TRANE	4TXK2709A10N0AA	4MXW2709A10N0AA		10	9800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	7151531	HRCU-A-CB-O		27	9000	2.13	81
AMERICAN STANDARD	4TXK2709A10N0AA	4MXW2709A10N0AA		10	9800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	7151530	HRCU-A-CB-O		27	9000	2.13	81
KINGHOME	KW09HTBA3DO	KW09HTBA3DI		10	9800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	10338157	HRCU-A-CB-O		27	9000	2.13	81
BRYANT	38MAQB12R--3	FV4CNF002		10	10400	$5,000	204344194	HRCU-A-CB	Preferred Series	18	11200	2.16	112
PAYNE	38MAQB12R--3	FV4CNF002		10	10400	$5,000	204344199	HRCU-A-CB	Mid-tier	18	11200	2.16	112
CARRIER	38MAQB12R--3	FV4CNF002		10	10400	$5,000	204344189	HRCU-A-CB	Performance Series	18	11200	2.16	112
MITSUBISHI ELECTRIC	MUZ-FE09NAH	MSZ-FE09NA		10	10900	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	201754425	HRCU-A-CB-O	M-Series	26	9000	2.06	102
PANASONIC	CU-E12SD3UA	CS-E12SD3UAW		10	11500	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9125309	HRCU-A-CB	Low-Profile Ducted	20	11500	1.85	83
AIRQUEST	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396159	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
MIDEA	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396129	HRCU-A-CB-O	Excel	21	12000	1.89	172
C&H	CH-12SPH-230VO	CH-12MSPHMC-230VI		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204098429	HRCU-A-CB-O	Single Zone Sophia Series Mini Floor Consol	20.5	12000	1.83	71
DAY & NIGHT	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396089	HRCU-A-CB-O	Constant Comfort	21	12000	1.89	172
CARRIER	38MAQB09R--3	40MAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396030	HRCU-A-CB-O	Performance	23	9000	1.98	90
ELIOS	DE12HOS23230E2	DM12HIFU230E5		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205782170	HRCU-A-CB-O		20.5	12000	1.83	71
BRYANT	38MAQB09R--3	619AHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396037	HRCU-A-CB-O	Preferred	23	9000	1.98	90
KEEPRITE	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396109	HRCU-A-CB-O	ProComfort	21	12000	1.89	172
COMFORTMAKER	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396079	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
CONCERTO	MOB30-12HFN1-MV0W	MSVPC-12HRFN1-MU0W		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9008899	HRCU-A-CB-O		23.5	12000	1.81	100
KENMORE	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396119	HRCU-A-CB-O	Mid-Tier	21	12000	1.89	172
LENNOX	MPB012S4S-1P	MFMA012S4-1P		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206188242	HRCU-A-CB-O		20.5	12000	1.83	71
TEMPSTAR	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396139	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
MDV	MOB30-12HFN1-MT0W	CFAU-12HRFN1-M(C)		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	8739929	HRCU-A-CB-O		20.5	12000	1.83	71
PAYNE	38MAQB09R--3	DHMAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396044	HRCU-A-CB-O	Mid-Tier	23	9000	1.98	90
MOOVAIR	DM12HOS23230E2	DM12HIFU230E5		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	205782168	HRCU-A-CB-O		20.5	12000	1.83	71
WEATHERMAKER	38MAQB09R--3	DHMAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396058	HRCU-A-CB-O	Mid-Tier	23	9000	1.98	90
HEIL	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396099	HRCU-A-CB-O	QuietComfort	21	12000	1.89	172
MIDEA	38MAQB09R--3	DHMAHBQ09XA3		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396051	HRCU-A-CB-O	Excel	23	9000	1.98	90
ARCOAIRE	DLCSRAH12AAK	DLFSHBH12XAK		10	12000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206396069	HRCU-A-CB-O	DuraComfort	21	12000	1.89	172
AMERICAN STANDARD / MITSUBISHI ELECTRIC	NAXSKH12A112AA	NAXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204793326	HRCU-A-CB-O	Nv Series Pro Heat	20.3	12000	1.84	100
MITSUBISHI ELECTRIC	SUZ-KA12NAHZ	SLZ-KF12NA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204627032	HRCU-A-CB-O	M-Series H2i	20.3	12000	1.84	100
TRANE / MITSUBISHI ELECTRIC	NTXSKH12A112AA	NTXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	204793343	HRCU-A-CB-O	Nv Series Pro Heat	20.3	12000	1.84	100
MITSUBISHI ELECTRIC	SUZ-KA12NAHZ	NAXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206328116	HRCU-A-CB-O	M-Series H2i	20.3	12000	1.84	100
MITSUBISHI ELECTRIC	SUZ-KA12NAHZ	NTXCKS12A112AA		10	13800	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	206328096	HRCU-A-CB-O	M-Series H2i	20.3	12000	1.84	100
SAMSUNG	AR12KSWSPWKX	AR12KSWSPWKN		10	14000	$2,500:  2 indoor heads; $5,000:  >=3 indoor heads	9035284	HRCU-A-CB-O	Max Heat RAC Series	21.5	12000	1.85	101
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*96SC0603BUA*	10	17000	$5,000	207172951	HRCU-A-CB	Daikin Fit	18	17100	2.19	75
DAIKIN	DZ17VSA181B*	CA*EA1818*4A* 	 D*80SC0604BUA*	10	17000	$5,000	207172950	HRCU-A-CB	Daikin Fit	18	17100	2.19	75
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	D*96VC0603BNA*	10	17100	$5,000	204875609	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A* 	D*96VC0403BNA*	10	17100	$5,000	204875606	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A* 	D*96VC0804CNA*	10	17100	$5,000	204875615	HRCU-A-CB		18	17100	2.19	74
DAIKIN	DZ17VSA181A*	CA*EA1818*4A*	D*97MC0603BNA*	10	17100	$5,000	204875618	HRCU-A-CB		18	17100	2.19	74
